experiment,scenario,strategy,variant,param,value,seed,asr_final,asr_post_mean,false_retrieval_rate,answer_flip_rate,exposure_final,propagation_final,propagation_peak,honest_relay_fraction,clean_accuracy_final,clean_accuracy_mean,clean_unknown_final,target_accuracy_final,fp_reject_rate,fn_accept_rate,fn_accept_injected,recovery_rounds,recovered,context_tokens_per_query,scored_per_query,verifier_lookups,messages,n_honest
strategies,none,naive,default,,,1000,0.166667,0.225,0.333333,0.0333333,,,,,1,0.983333,0,0.833333,0,1,,,1,36.4786,3,0,150,5
strategies,none,naive,default,,,1001,0.166667,0.1375,0.304167,0.00416667,,,,,1,1,0,0.833333,0,1,,,1,36.4857,3,0,150,5
strategies,none,naive,default,,,1002,0,0,0,0,,,,,0.85,0.85,0.15,0.966667,0,1,,,1,37.0386,3,0,150,5
strategies,none,naive,default,,,1003,0,0.0375,0.166667,0,,,,,0.85,0.85,0.05,1,0,1,,,1,36.8071,3,0,150,5
strategies,none,naive,default,,,1004,0,0,0,0,,,,,0.9,0.9,0,1,0,1,,,1,35.9629,3,0,150,5
strategies,none,naive,default,,,1005,0,0.0208333,0.145833,0,,,,,0.875,0.875,0.125,1,0,1,,,1,36.9129,3,0,150,5
strategies,none,naive,default,,,1006,0,0,0,0,,,,,1,1,0,0.966667,0,1,,,1,37.2129,3,0,150,5
strategies,none,naive,default,,,1007,0,0,0,0,,,,,1,1,0,1,0,1,,,1,36.6429,3,0,150,5
strategies,none,confidence,default,,,1000,0.133333,0.191667,0.333333,0,,,,,1,0.983333,0,0.866667,0,1,,,1,39.4786,12,0,150,5
strategies,none,confidence,default,,,1001,0.3,0.3,0.304167,0.166667,,,,,1,1,0,0.7,0,1,,,1,39.4857,12,0,150,5
strategies,none,confidence,default,,,1002,0,0,0,0,,,,,0.85,0.85,0.15,0.966667,0,1,,,1,40.0386,12,0,150,5
strategies,none,confidence,default,,,1003,0,0.0375,0.166667,0,,,,,0.85,0.85,0.05,1,0,1,,,1,39.8071,12,0,150,5
strategies,none,confidence,default,,,1004,0,0,0,0,,,,,0.9,0.9,0,1,0,1,,,1,38.9629,12,0,150,5
strategies,none,confidence,default,,,1005,0,0.0208333,0.145833,0,,,,,0.875,0.875,0.125,1,0,1,,,1,39.9129,12,0,150,5
strategies,none,confidence,default,,,1006,0,0,0,0,,,,,1,1,0,0.966667,0,1,,,1,40.2129,12,0,150,5
strategies,none,confidence,default,,,1007,0,0,0,0,,,,,1,1,0,1,0,1,,,1,39.6429,12,0,150,5
strategies,none,provenance,default,,,1000,0.2,0.233333,0.333333,0.0416667,,,,,1,0.983333,0,0.8,0,1,,,1,51.4786,12,0,150,5
strategies,none,provenance,default,,,1001,0.3,0.3,0.304167,0.166667,,,,,1,1,0,0.7,0,1,,,1,51.4857,12,0,150,5
strategies,none,provenance,default,,,1002,0,0,0,0,,,,,0.85,0.85,0.15,0.966667,0,1,,,1,52.0386,12,0,150,5
strategies,none,provenance,default,,,1003,0.0333333,0.0625,0.166667,0.025,,,,,0.875,0.866667,0.05,0.966667,0,1,,,1,51.8071,12,0,150,5
strategies,none,provenance,default,,,1004,0,0,0,0,,,,,0.9,0.9,0,1,0,1,,,1,50.9629,12,0,150,5
strategies,none,provenance,default,,,1005,0.0333333,0.0541667,0.145833,0.0333333,,,,,0.875,0.875,0.125,0.966667,0,1,,,1,51.9129,12,0,150,5
strategies,none,provenance,default,,,1006,0,0,0,0,,,,,1,1,0,0.966667,0,1,,,1,52.2129,12,0,150,5
strategies,none,provenance,default,,,1007,0,0,0,0,,,,,1,1,0,1,0,1,,,1,51.6429,12,0,150,5
strategies,none,verified,default,,,1000,0.0666667,0.0833333,0.166667,0.0166667,,,,,0.95,0.933333,0.05,0.8,0,0.909091,,,1,54.4829,12,117,150,5
strategies,none,verified,default,,,1001,0.3,0.3,0.304167,0.166667,,,,,1,1,0,0.7,0,1,,,1,54.4857,12,223,150,5
strategies,none,verified,default,,,1002,0,0,0,0,,,,,0.85,0.85,0.15,0.966667,0,0,,,1,55.04,12,233,150,5
strategies,none,verified,default,,,1003,0,0,0,0,,,,,1,1,0,1,0,0.714286,,,1,54.8257,12,212,150,5
strategies,none,verified,default,,,1004,0,0,0,0,,,,,0.9,0.9,0,1,0,1,,,1,53.9629,12,209,150,5
strategies,none,verified,default,,,1005,0.0333333,0.0541667,0.145833,0.0333333,,,,,0.875,0.875,0.125,0.966667,0,1,,,1,54.9129,12,157,150,5
strategies,none,verified,default,,,1006,0,0,0,0,,,,,1,1,0,1,0,0.833333,,,1,55.2257,12,215,150,5
strategies,none,verified,default,,,1007,0,0,0,0,,,,,1,1,0,1,0,0.8,,,1,54.6429,12,204,150,5
strategies,none,quarantine,default,,,1000,0.133333,0.129167,0.1625,0,,,,,0.975,0.958333,0.025,0.733333,0,0.909091,,,1,54.4843,12,127,155,5
strategies,none,quarantine,default,,,1001,0.3,0.3,0.304167,0.166667,,,,,1,1,0,0.7,0,1,,,1,54.4857,12,224,150,5
strategies,none,quarantine,default,,,1002,0,0,0,0,,,,,0.9,0.883333,0.1,1,0,0,,,1,55.0229,12,240,155,5
strategies,none,quarantine,default,,,1003,0,0,0,0,,,,,0.975,0.975,0.025,0.966667,0.0265252,0.571429,,,1,54.83,12,210,160,5
strategies,none,quarantine,default,,,1004,0,0,0,0,,,,,0.9,0.9,0,1,0,1,,,1,53.9629,12,210,150,5
strategies,none,quarantine,default,,,1005,0.0333333,0.0541667,0.145833,0.0333333,,,,,0.875,0.875,0.125,0.966667,0,1,,,1,54.9129,12,160,150,5
strategies,none,quarantine,default,,,1006,0,0,0,0,,,,,1,1,0,0.966667,0,0.833333,,,1,55.23,12,199,155,5
strategies,none,quarantine,default,,,1007,0,0,0,0,,,,,1,1,0,0.966667,0,0.833333,,,1,54.6429,12,211,155,5
strategies,plain,naive,default,,,1000,0.233333,0.333333,0.795833,0.179167,0.833333,0.433333,0.433333,0.52,1,1,0,0.766667,0,1,1,8,0,36.4757,3,0,152,5
strategies,plain,naive,default,,,1001,0.266667,0.295833,0.804167,0.158333,0.766667,0.366667,0.366667,0.478261,0.95,0.95,0.05,0.733333,0,1,1,8,0,36.4829,3,0,152,5
strategies,plain,naive,default,,,1002,0,0.0166667,0.708333,0.0166667,0.9,0.5,0.5,0.555556,0.925,0.925,0.075,1,0,1,1,2,1,37.1186,3,0,152,5
strategies,plain,naive,default,,,1003,0,0.05,0.6625,0.00833333,0.833333,0.433333,0.433333,0.52,0.8,0.808333,0.075,1,0,1,1,3,1,36.7986,3,0,152,5
strategies,plain,naive,default,,,1004,0,0.0916667,0.7625,0.0833333,0.9,0.5,0.5,0.555556,0.9,0.891667,0,1,0,1,1,6,1,35.95,3,0,152,5
strategies,plain,naive,default,,,1005,0.133333,0.133333,0.708333,0.108333,0.833333,0.433333,0.433333,0.52,0.95,0.95,0.05,0.866667,0,1,1,8,0,36.9129,3,0,152,5
strategies,plain,naive,default,,,1006,0.0333333,0.0625,0.595833,0.0625,0.733333,0.333333,0.333333,0.454545,1,1,0,0.966667,0,1,1,6,1,37.2043,3,0,152,5
strategies,plain,naive,default,,,1007,0.1,0.108333,0.654167,0.108333,0.8,0.4,0.4,0.5,1,1,0,0.9,0,1,1,8,0,36.6429,3,0,152,5
strategies,plain,confidence,default,,,1000,0.3,0.391667,0.795833,0.2375,0.833333,0.433333,0.433333,0.52,1,1,0,0.7,0,1,1,8,0,39.4757,12,0,152,5
