experiment,scenario,strategy,variant,param,value,n_seeds,asr_final_mean,asr_post_mean_mean,false_retrieval_rate_mean,answer_flip_rate_mean,propagation_final_mean,propagation_peak_mean,exposure_final_mean,clean_accuracy_final_mean,clean_accuracy_mean_mean,clean_unknown_final_mean,target_accuracy_final_mean,fp_reject_rate_mean,fn_accept_rate_mean,fn_accept_injected_mean,recovery_rounds_mean,recovered_mean,context_tokens_per_query_mean,scored_per_query_mean,verifier_lookups_mean,messages_mean,asr_final_sd,asr_post_mean_sd,false_retrieval_rate_sd,answer_flip_rate_sd,propagation_final_sd,propagation_peak_sd,exposure_final_sd,clean_accuracy_final_sd,clean_accuracy_mean_sd,clean_unknown_final_sd,target_accuracy_final_sd,fp_reject_rate_sd,fn_accept_rate_sd,fn_accept_injected_sd,recovery_rounds_sd,recovered_sd,context_tokens_per_query_sd,scored_per_query_sd,verifier_lookups_sd,messages_sd
strategies,none,naive,default,,,8,0.0416668,0.0526042,0.11875,0.0046875,,,,0.934375,0.932292,0.040625,0.95,0,1,,,1,36.6927,3,0,150,0.0771518,0.0838655,0.141351,0.0116661,,,,0.0718847,0.0699259,0.0625892,0.0734633,0,0,,,0,0.391992,0,0,0
strategies,none,confidence,default,,,8,0.0541666,0.06875,0.11875,0.0208334,,,,0.934375,0.932292,0.040625,0.9375,0,1,,,1,39.6927,12,0,150,0.109744,0.11387,0.141351,0.0589257,,,,0.0718847,0.0699259,0.0625892,0.106066,0,0,,,0,0.391992,0,0,0
strategies,none,provenance,default,,,8,0.0708333,0.08125,0.11875,0.0333334,,,,0.9375,0.934375,0.040625,0.920834,0,1,,,1,51.6927,12,0,150,0.114694,0.118606,0.141351,0.0565195,,,,0.0681385,0.0673237,0.0625892,0.109744,0,0,,,0,0.391992,0,0,0
strategies,none,verified,default,,,8,0.05,0.0546875,0.0770834,0.0270834,,,,0.946875,0.944792,0.040625,0.929167,0,0.782089,,,1,54.6973,12,196.25,150,0.103892,0.104165,0.115899,0.0576922,,,,0.0632985,0.063455,0.0625892,0.114694,0,0.333336,,,0,0.395088,0,39.1143,0
strategies,none,quarantine,default,,,8,0.0583333,0.0604167,0.0765625,0.025,,,,0.953125,0.948958,0.034375,0.9125,0.00331565,0.768398,,,1,54.6964,12,197.625,153.75,0.108012,0.107183,0.115447,0.0584184,,,,0.0525043,0.0544521,0.0498883,0.122069,0.00937807,0.341923,,,0,0.393939,0,36.6097,3.53553
strategies,plain,naive,default,,,8,0.0958333,0.136458,0.711458,0.0906249,0.425,0.425,0.825,0.940625,0.940625,0.03125,0.904167,0,1,1,6.125,0.5,36.6982,3,0,152,0.107552,0.116043,0.0730823,0.0611055,0.0584183,0.0584183,0.0584183,0.0680566,0.0664338,0.0347183,0.107552,0,0,0,2.41646,0.534522,0.404929,0,0,0
strategies,plain,confidence,default,,,8,0.179167,0.207813,0.711458,0.161979,0.425,0.425,0.825,0.940625,0.940625,0.03125,0.820833,0,1,1,8,0,39.6982,12,0,152,0.109744,0.13075,0.0730823,0.081084,0.0584183,0.0584183,0.0584183,0.0680566,0.0664338,0.0347183,0.109744,0,0,0,0,0,0.404929,0,0,0
strategies,plain,provenance,default,,,8,0.0708333,0.0802084,0.121875,0.034375,0,0,0.4,0.94375,0.944792,0.03125,0.925,0,0.432264,0,2.75,0.75,51.6954,12,0,152,0.114694,0.116683,0.146228,0.0579388,0,0,0,0.0608716,0.0573794,0.0347183,0.112335,0,0.121801,0,3.49489,0.46291,0.396152,0,0,0
strategies,plain,verified,default,,,8,0.0541667,0.0583334,0.0802084,0.03125,0,0,0.4,0.965625,0.9625,0.021875,0.925,0,0.294351,0,2.375,0.75,54.6986,12,199.25,152,0.105315,0.106603,0.123015,0.0580351,0,0,0,0.0399497,0.0445435,0.0311606,0.120515,0,0.160057,0,3.62284,0.46291,0.39769,0,37.9539,0
strategies,plain,quarantine,default,,,8,0.0458333,0.0593751,0.0791666,0.025,0,0,0.0416666,0.953125,0.946875,0.034375,0.925,0.00331565,0.293082,0,2.375,0.75,54.6964,12,202.625,179.5,0.0775364,0.104529,0.121396,0.0584184,0,0,0.117851,0.0525043,0.0525043,0.0498883,0.100396,0.00937807,0.161314,0,3.62284,0.46291,0.393939,0,36.9399,10.351
strategies,forged_meta,naive,default,,,8,0.0958333,0.136458,0.711458,0.0906249,0.425,0.425,0.825,0.940625,0.940625,0.03125,0.904167,0,1,1,6.125,0.5,36.6982,3,0,152,0.107552,0.116043,0.0730823,0.0611055,0.0584183,0.0584183,0.0584183,0.0680566,0.0664338,0.0347183,0.107552,0,0,0,2.41646,0.534522,0.404929,0,0,0
strategies,forged_meta,confidence,default,,,8,0.241667,0.267708,0.711458,0.221875,0.425,0.425,0.825,0.940625,0.940625,0.03125,0.758333,0,1,1,8,0,39.6982,12,0,152,0.0971825,0.109376,0.0730823,0.0718847,0.0584183,0.0584183,0.0584183,0.0680566,0.0664338,0.0347183,0.0971824,0,0,0,0,0,0.404929,0,0,0
strategies,forged_meta,provenance,default,,,8,0.208333,0.246875,0.711458,0.201042,0.425,0.425,0.825,0.946875,0.945833,0.03125,0.791667,0,1,1,8,0,51.6982,12,0,152,0.0830948,0.110526,0.0730823,0.0631807,0.0584183,0.0584183,0.0584183,0.0541781,0.055277,0.0347183,0.0830947,0,0,0,0,0,0.404929,0,0,0
strategies,forged_meta,verified,default,,,8,0.141667,0.152604,0.431771,0.126562,0.270834,0.270834,0.670833,0.965625,0.965625,0.021875,0.8375,0,0.767917,0.736013,7.375,0.125,54.7013,12,197.875,152,0.10351,0.113606,0.159129,0.0702863,0.10303,0.10303,0.10303,0.0399497,0.0399497,0.0311606,0.122717,0,0.117887,0.138567,1.76777,0.353553,0.40838,0,37.7489,0
strategies,forged_meta,quarantine,default,,,8,0.0624999,0.0708333,0.128646,0.0348958,0.0458334,0.0458334,0.0875,0.95,0.938542,0.040625,0.929167,0.0300918,0.307982,0.11413,2.375,0.75,54.6982,12,202.5,179.5,0.118773,0.134075,0.249219,0.0860259,0.129636,0.129636,0.247487,0.0550973,0.0594181,0.051647,0.11607,0.0181503,0.287374,0.322809,3.62284,0.46291,0.376957,0,38.2511,10.351
strategies,sybil,naive,default,,,8,0.508333,0.457292,0.841146,0.408854,0.5875,0.5875,0.9875,0.9625,0.958333,0.015625,0.491667,0,1,1,8,0,36.6972,3,0,152,0.167853,0.142152,0.0374297,0.109073,0.0172515,0.0172515,0.0172515,0.0582482,0.0556348,0.0296934,0.167853,0,0,0,0,0,0.406876,0,0,0
strategies,sybil,confidence,default,,,8,0.579167,0.522917,0.841146,0.474479,0.5875,0.5875,0.9875,0.9625,0.958333,0.015625,0.420833,0,1,1,8,0,39.6972,12,0,152,0.158302,0.156268,0.0374297,0.109663,0.0172515,0.0172515,0.0172515,0.0582482,0.0556348,0.0296934,0.158302,0,0,0,0,0,0.406876,0,0,0
strategies,sybil,provenance,default,,,8,0.575,0.515104,0.841146,0.461979,0.5875,0.5875,0.9875,0.9625,0.958333,0.015625,0.425,0.00159039,1,1,8,0,51.6972,12,0,152,0.163056,0.156885,0.0374297,0.0998868,0.0172515,0.0172515,0.0172515,0.0582482,0.0556348,0.0296934,0.163056,0.00302707,0,0,0,0,0.406876,0,0,0
strategies,sybil,verified,default,,,8,0.354167,0.308854,0.489583,0.272917,0.35,0.35,0.75,0.984375,0.975,0.0125,0.629166,0.00129666,0.745036,0.729722,8,0,54.6982,12,206.125,152,0.201532,0.178333,0.16099,0.128367,0.106904,0.106904,0.106904,0.0265165,0.0255883,0.0267261,0.217078,0.00274925,0.135607,0.145668,0,0,0.406216,0,40.706,0
